COD_ATECO,DESC_ATECO
01,"AGRICOLTURA, CACCIA E RELATIVI SERVIZI"
01.1,"COLTIVAZIONI AGRICOLE, ORTICOLTURA, FLORICOLTURA"
01.11,Coltivazioni di cereali e di altri seminativi
01.11.1,Coltivazione di cereali (compreso il riso)
01.11.2,Coltivazione di semi e frutti oleosi
01.11.3,Coltivazione di barbabietola da zucchero
01.11.4,Coltivazione di tabacco
01.11.5,Coltivazione di altri seminativi
01.11.6,Coltivazioni miste di cereali e altri seminativi
01.12,"Coltivazione di ortaggi, specialita' orticole, fiori e prodotti di vivai"
01.12.1,Coltivazione di ortaggi in campo aperto
01.12.2,Coltivazione di ortaggi in serra
01.12.3,Coltivazioni floricole e di piante ornamentali in campo aperto
01.12.4,Coltivazioni floricole e di piante ornamentali in serra
01.12.5,Orto-colture specializzate vivaistiche e sementiere in campo aperto
01.12.6,Orto-colture specializzate vivaistiche e sementiere in serra
01.12.7,"Coltivazioni miste di ortaggi, specialita' orticole, fiori e prodotti di vivai in campo aperto"
01.12.8,"Coltivazioni miste di ortaggi, specialita' orticole, fiori e prodotti di vivai in serra"
01.13,"Coltivazione di frutta, frutta a guscio, prodotti destinati alla preparazione di bevande, spezie"
01.13.1,Colture viticole e aziende vitivinicole (comprese le cantine sociali)
01.13.2,Colture olivicole (compresi i frantoi sociali)
01.13.3,Colture agrumicole
01.13.4,"Colture frutticole diverse, coltivazione di prodotti destinati alla preparazione di bevande e spezie"
01.13.5,"Colture miste viticole, olivicole e frutticole"
01.2,ALLEVAMENTO DI ANIMALI
01.21,"Allevamento di bovini e bufalini, produzione di latte crudo (comprese le latterie e i caseifici sociali)"
01.22,"Allevamento di ovini, caprini, equini"
01.22.1,"Allevamento di ovini e caprini, produzione di latte crudo (comprese le latterie e i caseifici sociali)"
01.22.2,Allevamento di equini
01.23,Allevamento di suini
01.24,Allevamento di pollame e altri volatili
01.25,Allevamento di altri animali
01.25.1,Allevamento di conigli
01.25.2,Allevamento di animali da pelliccia
01.25.3,Apicoltura
01.25.4,Bachicoltura
01.25.5,Allevamento di altri animali n.c.a.
01.3,COLTIVAZIONI AGRICOLE ASSOCIATE ALL'ALLEVAMENTO DI ANIMALI: ATTIVITA' MISTA
01.4,"SERVIZI CONNESSI ALL'AGRICOLTURA E ALLA ZOOTECNIA, ESCLUSI I SERVIZI VETERINARI; CREAZIONE E MANUTENZIONE DI GIARDINI, AIUOLE E SPAZI VERDI"
01.41,"Servizi connessi all'agricoltura; creazione e manutenzione di giardini, aiuole e spazi verdi"
01.41.1,Esercizio per conto terzi e noleggio di mezzi e di macchine agricole con personale
01.41.2,"Raccolta, prima lavorazione (esclusa trasformazione), conservazione di prodotti agricoli ed altri servizi connessi all'agricoltura svolti per conto terzi; approvvigionamento e distribuzione di mezzi tecnici necessari all'esercizio dell'agricoltura"
01.41.21,"Raccolta, prima lavorazione (esclusa trasformazione), conservazione di prodotti agricoli ed altri servizi connessi all'agricoltura svolti per conto terzi"
01.41.22,Approvvigionamento e distribuzione di mezzi tecnici necessari all'esercizio dell'agricoltura
01.41.3,"Sistemazione di parchi, giardini e aiuole"
01.42,"Servizi connessi all'allevamento del bestiame, esclusi i servizi veterinari"
01.5,"CACCIA E CATTURA DI ANIMALI PER ALLEVAMENTO E RIPOPOLAMENTO DI SELVAGGINA, COMPRESI I SERVIZI CONNESSI"
02,SILVICOLTURA E UTILIZZAZIONE DI AREE FORESTALI E SERVIZI CONNESSI
02.01,Silvicoltura e utilizzazione di aree forestali
02.01.1,Utilizzazione di aree forestali
02.01.2,Silvicoltura
02.01.3,Gestione di vivai forestali
02.02,Servizi connessi alla silvicoltura e all'utilizzazione di aree forestali
05,"PESCA, PISCICOLTURA E SERVIZI CONNESSI"
05.01,Pesca e servizi connessi
05.01.1,Pesca in acque marine e lagunari e servizi connessi
05.01.2,Pesca in acque dolci e servizi connessi
05.02,"Piscicoltura, acquicoltura e servizi connessi"
05.02.1,"Piscicoltura, acquicoltura in acqua di mare, salmastra o lagunare e servizi connessi"
05.02.2,"Piscicoltura, acquicoltura in acque dolci e servizi connessi"
10,"ESTRAZIONE DI CARBON FOSSILE, LIGNITE, TORBA"
10.1,ESTRAZIONE ED AGGLOMERAZIONE DI CARBON FOSSILE
10.2,ESTRAZIONE ED AGGLOMERAZIONE DI LIGNITE
10.3,ESTRAZIONE ED AGGLOMERAZIONE DI TORBA
11,"ESTRAZIONE DI PETROLIO GREGGIO E DI GAS NATURALE E SERVIZI CONNESSI, ESCLUSA LA PROSPEZIONE"
11.1,ESTRAZIONE DI PETROLIO GREGGIO E DI GAS NATURALE
11.2,"SERVIZI CONNESSI ALL'ESTRAZIONE DI PETROLIO E DI GAS, ESCLUSA LA PROSPEZIONE"
12,ESTRAZIONE DI MINERALI DI URANIO E DI TORIO
13,ESTRAZIONE DI MINERALI METALLIFERI
13.1,ESTRAZIONE DI MINERALI DI FERRO
13.2,"ESTRAZIONE DI MINERALI METALLICI NON FERROSI, AD ECCEZIONE DEI MINERALI DI URANIO E DI TORIO"
14,ALTRE INDUSTRIE ESTRATTIVE
14.1,ESTRAZIONE DI PIETRE
14.11,Estrazione di pietre ornamentali e da costruzione
14.11.1,Estrazione di pietre ornamentali
14.11.2,Estrazione di pietre da costruzione
14.12,"Estrazione di pietra per calce, pietra da gesso e creta"
14.12.1,Estrazione di pietra da gesso e di anidrite
14.12.2,Estrazione di pietre per calce e per cementi e di dolomite
14.13,Estrazione di ardesia
14.2,"ESTRAZIONE DI GHIAIA, SABBIA E ARGILLA"
14.21,Estrazione di ghiaia e sabbia
14.22,Estrazione di argilla e caolino
14.3,ESTRAZIONE DI MINERALI PER LE INDUSTRIE CHIMICHE E LA FABBRICAZIONE DI CONCIMI
14.30.1,Estrazione di sali naturali di potassio e di fosfati di calcio
14.30.2,Estrazione di zolfo e di pirite
14.30.3,"Estrazione di baritina, di fluorite, di acido borico, terre coloranti e altri minerali per le industrie chimiche"
14.4,PRODUZIONE DI SALE
14.5,ESTRAZIONE DI ALTRI MINERALI ED ALTRI PRODOTTI DI CAVA
14.50.1,"Estrazione di pomice e di altri minerali ed altri prodotti di cava n.c.a. (quarzo, quarzite, sabbie silicee, ecc.)"
14.50.2,Estrazione di asfalto e bitume naturali
15,INDUSTRIE ALIMENTARI E DELLE BEVANDE
15.1,"PRODUZIONE, LAVORAZIONE E CONSERVAZIONE DI CARNE E DI PRODOTTI A BASE DI CARNE, ESCLUSA L'ATTIVITA' DELLE MACELLERIE"
15.11,"Produzione e refrigerazione di carne e di prodotti della macellazione del bestiame, esclusi volatili e conigli, esclusa l'attivita' delle macellerie"
15.12,"Produzione e refrigerazione di carne e di prodotti della macellazione di volatili e conigli, esclusa l'attivita' delle macellerie"
15.13,"Lavorazione e conservazione di carne e di prodotti a base di carne, esclusa l'attivita' delle macellerie"
15.13.01,"Produzione di salumeria (carni affumicate, salate, insaccate, seccate o comunque altrimenti preparate), esclusa l'attivita' delle macellerie"
15.13.02,Produzione di carne in scatola
15.13.03,"Altre lavorazioni e conservazioni di carne e di prodotti a base di carne n.c.a., esclusa l'attivita' delle macellerie"
15.2,LAVORAZIONE E CONSERVAZIONE DI PESCE E DI PRODOTTI A BASE DI PESCE
15.20.1,"Conservazione di pesce, crostacei e molluschi mediante surgelamento, salatura, ecc."
15.20.2,"Preparazione e inscatolamento di prodotti e conserve a base di pesce, crostacei e molluschi"
15.3,LAVORAZIONE E CONSERVAZIONE DI FRUTTA E ORTAGGI
15.31,Lavorazione e conservazione delle patate
15.32,Produzione di succhi di frutta e di ortaggi
15.33,Altre lavorazioni e conservazioni di frutta e ortaggi
15.33.01,Lavorazione e conservazione dei pomodori
15.33.02,"Produzione di confetture, marmellate e gelatine da tavola"
15.33.03,Altre lavorazioni e conservazioni n.c.a. di frutta e ortaggi
15.4,PRODUZIONE DI OLI E GRASSI VEGETALI E ANIMALI
15.41,Produzione di oli e grassi grezzi o non modificati chimicamente
15.41.1,Produzione di olio grezzo di oliva
15.41.2,Produzione di oli grezzi da semi oleosi
15.41.3,Produzione di oli di origine animale; grassi grezzi non commestibili di origine animale
15.42,Produzione di oli e grassi raffinati
15.42.1,Produzione di olio raffinato di oliva
15.42.2,Produzione di olio e grassi raffinati da semi e da frutti oleosi
15.42.3,Produzione di grassi raffinati non commestibili di origine animale
15.43,Produzione di margarina e di grassi commestibili simili
15.5,INDUSTRIA LATTIERO-CASEARIA E DEI GELATI
15.51,"Industria lattiero-casearia, trattamento igienico e conservazione del latte"
15.51.1,Trattamento igienico del latte
15.51.2,Produzione dei derivati del latte
15.52,Produzione di gelati
15.6,LAVORAZIONE DELLE GRANAGLIE E DI PRODOTTI AMIDACEI
15.61,Lavorazione delle granaglie
15.61.1,Molitura del frumento
15.61.2,Molitura di altri cereali
15.61.3,Lavorazione del riso
15.61.4,Altre lavorazioni di semi e granaglie
15.62,Produzione di prodotti amidacei
15.7,PRODUZIONE DI PRODOTTI PER L'ALIMENTAZIONE DEGLI ANIMALI
15.71,Produzione di prodotti per l'alimentazione degli animali da allevamento
15.72,Produzione di prodotti per l'alimentazione degli animali domestici
15.8,PRODUZIONE DI ALTRI PRODOTTI ALIMENTARI
15.81,Produzione di prodotti di panetteria; altri prodotti da forno e pasticceria fresca
15.81.1,Produzione di pane e di prodotti freschi simili
15.81.2,Produzione di altri prodotti da forno e di pasticceria fresca senza somministrazione
15.81.21,Produzione di pizza al taglio e da asporto e di altre specialita' da forno (rustici e pizzette) senza somministrazione
15.81.22,Produzione di pasticceria fresca senza somministrazione
15.82,"Produzione di fette biscottate, biscotti, prodotti di pasticceria e di panetteria secchi e conservati"
15.83,Produzione e raffinazione dello zucchero
15.84,"Produzione di cacao in polvere, cioccolato, caramelle e confetterie"
15.85,"Produzione di paste alimentari, di cuscus e di prodotti farinacei simili"
15.85.01,Produzione di paste alimentari secche
15.85.02,Produzione di paste alimentari fresche
15.85.03,Altre produzioni diverse dalla pasta
15.86,"Lavorazione del caffe', del te' e altri preparati per infusi"
15.86.01,Lavorazione del caffe'
15.86.02,Lavorazione del te' e di altri preparati per infusi
15.87,"Produzione di condimenti, spezie e salse non a base di carne e di pesce"
15.88,Produzione di preparati omogeneizzati e di alimenti dietetici
15.89,Produzione di prodotti alimentari n.c.a.
15.89.01,"Produzione senza somministrazione di cibi preparati (gastronomie, friggitorie, rosticcerie, take-away, ecc.)"
15.89.02,"Produzione di cibi precotti (surgelati, in scatola o comunque conservati), esclusa la carne in scatola"
15.89.03,Produzione di altri prodotti alimentari n.c.a.
15.9,INDUSTRIA DELLE BEVANDE
15.91,Produzione di bevande alcoliche distillate
15.92,Produzione di alcol etilico di fermentazione
15.93,Produzione di vini
15.93.1,Produzione di vini da tavola e di vini di qualita' prodotti in regioni determinate (v.q.p.r.d.)
15.93.11,Produzione di vini da tavola
15.93.12,Produzione di vini di qualita' prodotti in regioni determinate (v.q.p.r.d.)
15.93.2,Produzione di vini speciali
15.93.21,Produzione di vini spumanti
15.93.22,Produzione di altri vini speciali
15.94,Produzione di sidro e di altri vini a base di frutta
15.95,Produzione di bevande ottenute per infusione e di altre bevande fermentate
15.96,Produzione di birra
15.97,Produzione di malto
15.98,Produzione di acque minerali e di bibite analcoliche
16,INDUSTRIA DEL TABACCO
17,INDUSTRIE TESSILI
17.1,PREPARAZIONE E FILATURA DI FIBRE TESSILI
17.11,Preparazione e filatura di fibre tipo cotone
17.12,Preparazione e filatura di fibre tipo lana cardata
17.12.1,"Preparazione delle fibre di lana e assimilate, cardatura"
17.12.2,Filatura della lana cardata e di altre fibre tessili a taglio laniero
17.13,Preparazione e filatura di fibre tipo lana pettinata
17.13.1,Pettinatura e ripettinatura delle fibre di lana e assimilate
17.13.2,Filatura della lana pettinata e delle fibre assimilate; preparazione in gomitoli e matasse
17.14,Preparazione e filatura di fibre tipo lino
17.15,Torcitura e testurizzazione della seta e di filamenti sintetici o artificiali tipo seta
17.16,Fabbricazione di filati cucirini in qualsiasi fibra tessile
17.17,Preparazione e filatura di altre fibre tessili
17.2,TESSITURA
